customer_id,acquired_at,acquisition_channel,region
1,2012-03-19 08:04:16+00:00,Google,unknown
2,2012-03-19 08:16:49+00:00,Google,unknown
3,2012-03-19 08:26:55+00:00,Google,unknown
4,2012-03-19 08:37:33+00:00,Google,unknown
5,2012-03-19 09:00:55+00:00,Google,unknown
6,2012-03-19 09:05:46+00:00,Google,unknown
7,2012-03-19 09:06:27+00:00,Google,unknown
8,2012-03-19 09:17:17+00:00,Google,unknown
9,2012-03-19 09:27:56+00:00,Google,unknown
10,2012-03-19 09:35:37+00:00,Google,unknown
11,2012-03-19 09:37:42+00:00,Google,unknown
12,2012-03-19 09:39:57+00:00,Google,unknown
13,2012-03-19 09:45:29+00:00,Google,unknown
14,2012-03-19 09:45:47+00:00,Google,unknown
15,2012-03-19 09:57:14+00:00,Google,unknown
16,2012-03-19 10:01:35+00:00,Google,unknown
17,2012-03-19 10:14:34+00:00,Google,unknown
18,2012-03-19 10:16:57+00:00,Google,unknown
19,2012-03-19 10:17:38+00:00,Google,unknown
20,2012-03-19 10:22:58+00:00,Google,unknown
21,2012-03-19 10:51:38+00:00,Google,unknown
22,2012-03-19 10:54:55+00:00,Google,unknown
23,2012-03-19 10:59:03+00:00,Google,unknown
24,2012-03-19 11:08:58+00:00,Google,unknown
25,2012-03-19 11:16:42+00:00,Google,unknown
26,2012-03-19 11:20:14+00:00,Google,unknown
27,2012-03-19 11:22:58+00:00,Google,unknown
28,2012-03-19 11:24:59+00:00,Google,unknown
29,2012-03-19 11:33:47+00:00,Google,unknown
30,2012-03-19 11:43:21+00:00,Google,unknown
31,2012-03-19 11:46:37+00:00,Google,unknown
32,2012-03-19 11:53:24+00:00,Google,unknown
33,2012-03-19 11:58:52+00:00,Google,unknown
34,2012-03-19 12:01:28+00:00,Google,unknown
35,2012-03-19 12:02:18+00:00,Google,unknown
36,2012-03-19 12:07:36+00:00,Google,unknown
37,2012-03-19 12:09:24+00:00,Google,unknown
38,2012-03-19 12:23:11+00:00,Google,unknown
39,2012-03-19 12:35:54+00:00,Google,unknown
40,2012-03-19 12:45:10+00:00,Google,unknown
41,2012-03-19 12:55:38+00:00,Google,unknown
42,2012-03-19 12:55:57+00:00,Google,unknown
43,2012-03-19 12:57:35+00:00,Google,unknown
44,2012-03-19 13:10:20+00:00,Google,unknown
45,2012-03-19 13:11:43+00:00,Google,unknown
46,2012-03-19 13:14:49+00:00,Google,unknown
47,2012-03-19 13:19:35+00:00,Google,unknown
48,2012-03-19 13:25:51+00:00,Google,unknown
49,2012-03-19 13:29:52+00:00,Google,unknown
50,2012-03-19 13:30:31+00:00,Google,unknown
51,2012-03-19 13:37:56+00:00,Google,unknown
52,2012-03-19 13:39:26+00:00,Google,unknown
53,2012-03-19 14:01:42+00:00,Google,unknown
54,2012-03-19 14:12:09+00:00,Google,unknown
55,2012-03-19 14:15:08+00:00,Google,unknown
56,2012-03-19 14:20:38+00:00,Google,unknown
57,2012-03-19 14:23:51+00:00,Google,unknown
58,2012-03-19 14:42:54+00:00,Google,unknown
59,2012-03-19 14:51:15+00:00,Google,unknown
60,2012-03-19 14:58:46+00:00,Google,unknown
61,2012-03-19 15:01:00+00:00,Google,unknown
62,2012-03-19 15:03:11+00:00,Google,unknown
63,2012-03-19 15:03:57+00:00,Google,unknown
64,2012-03-19 15:05:50+00:00,Google,unknown
65,2012-03-19 15:13:54+00:00,Google,unknown
66,2012-03-19 15:20:18+00:00,Google,unknown
67,2012-03-19 15:29:46+00:00,Google,unknown
68,2012-03-19 15:33:50+00:00,Google,unknown
69,2012-03-19 15:56:47+00:00,Google,unknown
70,2012-03-19 16:03:21+00:00,Google,unknown
71,2012-03-19 16:03:55+00:00,Google,unknown
