date,channel,campaign,spend,clicks,impressions,sales_cost
2012-03-19,Google,nonbrand,184.95,137,685,22.19
2012-03-20,Google,nonbrand,217.35,161,805,26.08
2012-03-21,Google,nonbrand,257.85,191,955,30.94
2012-03-22,Google,nonbrand,238.95,177,885,28.67
2012-03-23,Google,nonbrand,210.6,156,780,25.27
2012-03-24,Google,nonbrand,99.9,74,370,11.99
2012-03-25,Google,brand,1.35,1,5,0.16
2012-03-25,Google,nonbrand,93.15,69,345,11.18
2012-03-25,direct,(direct),0.0,3,3,0.0
2012-03-26,Affiliate,(organic/referral),0.15,1,2,0.01
2012-03-26,Google,brand,2.7,2,10,0.32
2012-03-26,Google,nonbrand,229.5,170,850,27.54
2012-03-26,direct,(direct),0.0,2,2,0.0
2012-03-27,Affiliate,(organic/referral),0.45,3,6,0.02
2012-03-27,Bing,brand,1.1,1,4,0.13
2012-03-27,Google,brand,1.35,1,5,0.16
2012-03-27,Google,nonbrand,210.6,156,780,25.27
2012-03-27,direct,(direct),0.0,2,2,0.0
2012-03-28,Affiliate,(organic/referral),0.3,2,4,0.02
2012-03-28,Google,brand,1.35,1,5,0.16
2012-03-28,Google,nonbrand,216.0,160,800,25.92
2012-03-28,direct,(direct),0.0,2,2,0.0
2012-03-29,Bing,brand,1.1,1,4,0.13
2012-03-29,Google,brand,1.35,1,5,0.16
2012-03-29,Google,nonbrand,229.5,170,850,27.54
2012-03-30,Affiliate,(organic/referral),0.15,1,2,0.01
2012-03-30,Google,brand,2.7,2,10,0.32
2012-03-30,Google,nonbrand,191.7,142,710,23.0
2012-03-31,Affiliate,(organic/referral),0.15,1,2,0.01
2012-03-31,Google,nonbrand,120.15,89,445,14.42
2012-04-01,Affiliate,(organic/referral),0.3,2,4,0.02
2012-04-01,Google,nonbrand,125.55,93,465,15.07
2012-04-01,direct,(direct),0.0,2,2,0.0
2012-04-02,Affiliate,(organic/referral),0.15,1,2,0.01
2012-04-02,Bing,brand,1.1,1,4,0.13
2012-04-02,Google,brand,1.35,1,5,0.16
2012-04-02,Google,nonbrand,234.9,174,870,28.19
2012-04-02,direct,(direct),0.0,4,4,0.0
2012-04-03,Affiliate,(organic/referral),0.3,2,4,0.02
2012-04-03,Google,brand,4.05,3,15,0.49
2012-04-03,Google,nonbrand,271.35,201,1005,32.56
2012-04-03,direct,(direct),0.0,1,1,0.0
2012-04-04,Affiliate,(organic/referral),0.45,3,6,0.02
2012-04-04,Bing,brand,1.1,1,4,0.13
2012-04-04,Google,brand,4.05,3,15,0.49
2012-04-04,Google,nonbrand,257.85,191,955,30.94
2012-04-04,direct,(direct),0.0,1,1,0.0
2012-04-05,Affiliate,(organic/referral),0.15,1,2,0.01
2012-04-05,Google,brand,2.7,2,10,0.32
2012-04-05,Google,nonbrand,302.4,224,1120,36.29
2012-04-05,direct,(direct),0.0,5,5,0.0
2012-04-06,Affiliate,(organic/referral),0.6,4,8,0.03
2012-04-06,Google,nonbrand,253.8,188,940,30.46
2012-04-06,direct,(direct),0.0,1,1,0.0
2012-04-07,Affiliate,(organic/referral),0.3,2,4,0.02
2012-04-07,Google,brand,1.35,1,5,0.16
2012-04-07,Google,nonbrand,109.35,81,405,13.12
2012-04-08,Affiliate,(organic/referral),0.15,1,2,0.01
2012-04-08,Bing,brand,1.1,1,4,0.13
2012-04-08,Google,brand,4.05,3,15,0.49
2012-04-08,Google,nonbrand,106.65,79,395,12.8
2012-04-09,Affiliate,(organic/referral),0.45,3,6,0.02
2012-04-09,Bing,brand,2.2,2,8,0.26
2012-04-09,Google,brand,1.35,1,5,0.16
2012-04-09,Google,nonbrand,225.45,167,835,27.05
2012-04-10,Affiliate,(organic/referral),0.6,4,8,0.03
2012-04-10,Google,brand,1.35,1,5,0.16
2012-04-10,Google,nonbrand,230.85,171,855,27.7
2012-04-10,direct,(direct),0.0,1,1,0.0
2012-04-11,Affiliate,(organic/referral),0.45,3,6,0.02
2012-04-11,Google,brand,4.05,3,15,0.49
2012-04-11,Google,nonbrand,259.2,192,960,31.1
2012-04-11,direct,(direct),0.0,4,4,0.0
