refund_id,order_id,refund_amount,refund_ts,status
1,57,49.99,2012-04-06 11:32:43+00:00,processed
2,74,49.99,2012-04-13 01:09:43+00:00,processed
3,71,49.99,2012-04-15 07:03:48+00:00,processed
4,118,49.99,2012-04-17 20:00:37+00:00,processed
5,116,49.99,2012-04-22 20:53:49+00:00,processed
6,147,49.99,2012-05-04 11:59:07+00:00,processed
7,186,49.99,2012-05-12 02:41:14+00:00,processed
8,191,49.99,2012-05-16 13:06:01+00:00,processed
9,179,49.99,2012-05-24 16:00:09+00:00,processed
10,199,49.99,2012-05-30 17:20:44+00:00,processed
11,271,49.99,2012-06-06 14:22:14+00:00,processed
12,290,49.99,2012-06-10 19:54:47+00:00,processed
13,335,49.99,2012-06-20 19:13:12+00:00,processed
14,382,49.99,2012-06-28 18:54:22+00:00,processed
15,357,49.99,2012-06-29 15:50:01+00:00,processed
16,409,49.99,2012-07-05 14:24:53+00:00,processed
17,368,49.99,2012-07-07 07:36:44+00:00,processed
18,391,49.99,2012-07-07 19:54:28+00:00,processed
19,424,49.99,2012-07-08 02:59:09+00:00,processed
20,393,49.99,2012-07-10 14:31:05+00:00,processed
21,442,49.99,2012-07-11 22:16:10+00:00,processed
22,472,49.99,2012-07-19 06:57:16+00:00,processed
23,470,49.99,2012-07-20 13:51:53+00:00,processed
24,469,49.99,2012-07-21 09:45:01+00:00,processed
25,471,49.99,2012-07-22 12:53:11+00:00,processed
26,468,49.99,2012-07-27 18:03:58+00:00,processed
27,467,49.99,2012-07-29 07:41:18+00:00,processed
28,500,49.99,2012-07-31 01:43:50+00:00,processed
29,501,49.99,2012-08-01 13:50:52+00:00,processed
30,568,49.99,2012-08-06 23:16:41+00:00,processed
31,545,49.99,2012-08-08 17:45:11+00:00,processed
32,558,49.99,2012-08-09 17:14:14+00:00,processed
33,577,49.99,2012-08-12 01:39:11+00:00,processed
34,648,49.99,2012-08-12 19:26:58+00:00,processed
35,669,49.99,2012-08-15 03:07:26+00:00,processed
36,587,49.99,2012-08-16 10:58:58+00:00,processed
37,581,49.99,2012-08-17 00:42:29+00:00,processed
38,584,49.99,2012-08-17 00:43:39+00:00,processed
39,638,49.99,2012-08-18 09:15:40+00:00,processed
40,676,49.99,2012-08-20 08:19:51+00:00,processed
41,717,49.99,2012-08-23 12:16:35+00:00,processed
42,661,49.99,2012-08-24 15:15:48+00:00,processed
43,694,49.99,2012-08-27 04:21:11+00:00,processed
44,668,49.99,2012-08-27 14:26:16+00:00,processed
45,739,49.99,2012-08-29 00:16:18+00:00,processed
46,718,49.99,2012-08-29 14:11:58+00:00,processed
47,780,49.99,2012-09-01 10:36:40+00:00,processed
48,786,49.99,2012-09-03 21:08:59+00:00,processed
49,760,49.99,2012-09-08 09:52:41+00:00,processed
50,844,49.99,2012-09-12 12:31:11+00:00,processed
51,823,49.99,2012-09-13 07:09:10+00:00,processed
52,883,49.99,2012-09-14 07:45:19+00:00,processed
53,818,49.99,2012-09-14 09:09:54+00:00,processed
54,900,49.99,2012-09-14 21:56:14+00:00,processed
55,838,49.99,2012-09-15 09:00:25+00:00,processed
56,807,49.99,2012-09-15 19:18:27+00:00,processed
57,910,49.99,2012-09-18 08:07:59+00:00,processed
58,849,49.99,2012-09-19 19:57:16+00:00,processed
59,988,49.99,2012-09-22 17:50:53+00:00,processed
60,934,49.99,2012-09-24 12:27:05+00:00,processed
61,993,49.99,2012-09-24 15:13:26+00:00,processed
62,950,49.99,2012-09-24 20:49:53+00:00,processed
63,969,49.99,2012-09-25 08:14:53+00:00,processed
64,953,49.99,2012-09-27 01:07:36+00:00,processed
65,905,49.99,2012-09-27 04:26:24+00:00,processed
66,941,49.99,2012-09-29 19:44:05+00:00,processed
67,939,49.99,2012-09-30 10:29:56+00:00,processed
68,1006,49.99,2012-10-02 19:14:21+00:00,processed
69,1107,49.99,2012-10-05 11:06:14+00:00,processed
70,1069,49.99,2012-10-05 18:22:42+00:00,processed
71,984,49.99,2012-10-06 00:04:13+00:00,processed
72,1021,49.99,2012-10-06 07:54:10+00:00,processed
73,1129,49.99,2012-10-07 01:25:32+00:00,processed
74,1103,49.99,2012-10-07 15:51:25+00:00,processed
75,1036,49.99,2012-10-08 15:43:52+00:00,processed
76,1063,49.99,2012-10-10 10:23:40+00:00,processed
77,1078,49.99,2012-10-10 13:15:44+00:00,processed
78,1056,49.99,2012-10-10 15:18:51+00:00,processed
79,1145,49.99,2012-10-13 21:35:11+00:00,processed
80,1123,49.99,2012-10-14 19:15:52+00:00,processed
81,1226,49.99,2012-10-17 12:24:18+00:00,processed
82,1279,49.99,2012-10-20 13:42:51+00:00,processed
83,1245,49.99,2012-10-20 17:49:01+00:00,processed
84,1271,49.99,2012-10-21 19:42:47+00:00,processed
85,1167,49.99,2012-10-22 11:33:07+00:00,processed
86,1243,49.99,2012-10-22 14:28:55+00:00,processed
87,1318,49.99,2012-10-23 18:58:17+00:00,processed
88,1227,49.99,2012-10-25 04:26:48+00:00,processed
89,1283,49.99,2012-10-26 07:25:27+00:00,processed
90,1222,49.99,2012-10-28 06:17:14+00:00,processed
91,1233,49.99,2012-10-29 00:19:14+00:00,processed
92,1274,49.99,2012-11-01 08:02:36+00:00,processed
93,1426,49.99,2012-11-01 17:40:26+00:00,processed
